arch,category,rule,count,expanded_count,path
DIP,geometry,G.4:M1i,2271,2271,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,geometry,G.4:M2i,381,381,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,geometry,G.4:M3i,2,2,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,contact,CO.EN.6,66,19597,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M1.W.4,1,1,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M1.S.1,759,759,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M1.S.7,6,6,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M1.S.8,7,7,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M2.W.1,1,1,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M2.W.4,31,31,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M2.S.1,754,754,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M2.S.7,64,64,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M2.S.8,61,61,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,via,VIA2.EN.11,1,1,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M3.S.1,364,364,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M3.S.2,2,2,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M3.S.7,3,3,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M3.S.8,9,9,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M4.S.1,304,304,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M4.S.7,1,1,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M4.S.8,2,2,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M5.S.1,298,298,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
DIP,metal,M6.S.1,1,298,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_drc_backend.rep
